fecha_desaparicion;fecha_denuncia;fecha_conocimiento;zona;distrito;circuito;subcircuito;codigo_provincia;provincia;codigo_canton;canton;dias_solucion;latitud_desaparicion;longitud_desaparicion;sexo;nacionalidad;edad;rango_edad;etnia;fecha_localizacion;latitud_localizacion;longitud_localizacion;provincia_localizacion;situacion_actual;motivo_desaparicion;motivacion_desaparicion_observada;estado_desaparecido
30/9/2025;1/10/2025;1/10/2025;ZONA 9;QUITUMBE;ECUATORIANA;ECUATORIANA 1;17;PICHINCHA;1701;QUITO;604800;-0,293399;-78,564391;HOMBRE;ECUADOR;16;ADOLESCENTES;MESTIZO/A;7/10/2025;-0,307796;-78,562247;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
30/9/2025;3/10/2025;3/10/2025;ZONA 9;LA DELICIA;MENA DEL HIERRO;MENA DEL HIERRO 1;17;PICHINCHA;1701;QUITO;777600;-0,114648;-78,50917;HOMBRE;ECUADOR;39;ADULTO;MESTIZO/A;9/10/2025;-0,117705;-78,510209;PICHINCHA;ENCONTRADO;CAUSAS SOCIALES;ALCOHOLISMO;DESAPARICIÓN VOLUNTARIA
30/9/2025;14/11/2025;14/11/2025;ZONA 9;ELOY ALFARO - DMQ;MENA;MENA 1;17;PICHINCHA;1701;QUITO;5011200;-0,260629;-78,546797;HOMBRE;ECUADOR;57;ADULTO;MESTIZO/A;27/11/2025;-0,15212;-78,475058;PICHINCHA;ENCONTRADO;CAUSAS SOCIALES;DETENCIÓN;DESAPARICIÓN INVOLUNTARIA
29/9/2025;29/9/2025;29/9/2025;ZONA 9;CALDERÓN;SAN JUAN DE CALDERÓN;SAN JUAN DE CALDERÓN 1;17;PICHINCHA;1701;QUITO;172800;-0,079755;-78,435493;MUJER;VENEZUELA;15;ADOLESCENTES;MESTIZO/A;1/10/2025;-0,096995;-78,44149;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;RELACIÓN AFECTIVA;DESAPARICIÓN VOLUNTARIA
29/9/2025;29/9/2025;13/9/2025;ZONA 9;QUITUMBE;GUAMANÍ;GUAMANÍ 3;17;PICHINCHA;1701;QUITO;1209600;-0,333076;-78,555339;HOMBRE;VENEZUELA;23;ADULTO;SIN_DATO;13/10/2025;-0,182078;-78,504338;PICHINCHA;FALLECIDO;FALLECIDO;SECUESTRO EXTORSIVO (CON RESULTADO DE MUERTE);DESAPARICIÓN INVOLUNTARIA
29/9/2025;29/9/2025;13/9/2025;ZONA 9;QUITUMBE;GUAMANÍ;GUAMANÍ 3;17;PICHINCHA;1701;QUITO;1209600;-0,333076;-78,555339;HOMBRE;VENEZUELA;20;ADULTO;OTROS;13/10/2025;-0,182078;-78,504338;PICHINCHA;FALLECIDO;FALLECIDO;SECUESTRO EXTORSIVO (CON RESULTADO DE MUERTE);DESAPARICIÓN INVOLUNTARIA
29/9/2025;30/9/2025;30/9/2025;ZONA 9;QUITUMBE;QUITUMBE;QUITUMBE 3;17;PICHINCHA;1701;QUITO;518400;-0,313245;-78,536211;MUJER;ECUADOR;15;ADOLESCENTES;MESTIZO/A;5/10/2025;-0,338797;-78,607761;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
29/9/2025;29/9/2025;29/9/2025;ZONA 9;EUGENIO ESPEJO;AEROPUERTO;AEROPUERTO 2;17;PICHINCHA;1701;QUITO;604800;-0,15535;-78,48611;MUJER;ECUADOR;23;ADULTO;BLANCO/A;6/10/2025;-0,101535;-78,485666;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
29/9/2025;30/9/2025;30/9/2025;ZONA 9;EUGENIO ESPEJO;LAS CASAS;LAS CASAS 2;17;PICHINCHA;1701;QUITO;172800;-0,185712;-78,513091;HOMBRE;ECUADOR;30;ADULTO;MESTIZO/A;1/10/2025;-0,274792;-78,549912;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
28/9/2025;28/9/2025;28/9/2025;ZONA 9;EUGENIO ESPEJO;EL BOSQUE;EL BOSQUE 3;17;PICHINCHA;1701;QUITO;86400;-0,175422;-78,494026;HOMBRE;ECUADOR;38;ADULTO;MESTIZO/A;29/9/2025;-0,1424;-78,50005;PICHINCHA;ENCONTRADO;CAUSAS PERSONALES;CIRCUNSTANCIAL;DESAPARICIÓN VOLUNTARIA
